,car_id,name,amount,region,use_type,milage
0,/5d2nyVDMcYxpdGepSQvwlByN,Honda Civic 2009 Black,"₦ 2,070,000","Lagos State, Surulere",Nigerian Used,154889 km
1,/96ZjzICJrI2c7ArSZvMFCgc7,Honda Accord 2004 Gray,"₦ 1,575,000","Oyo State, Ibadan",Nigerian Used,231145 km
2,/dwCqjx0JacjjiDO6eohFVALT,Honda Accord 2011 Silver,"₦ 2,750,625","Abuja (FCT), Gwarinpa",Nigerian Used,118948 km
3,/fSA6pM9OGsZuBAg1hIDbPGLW,Audi A4 2011 White,"₦ 5,062,500","Lagos State, Magodo",Nigerian Used,99291 km
4,/dDUg6cZPHr2amDLLYkR92ofo,Toyota Sienna 2006 Blue,"₦ 2,880,000","Lagos State, Kosofe",Nigerian Used,339073 km
5,/83RLiq9Z08l4TY7DenOSyPae,Toyota Camry 2002 Black,"₦ 3,375,000","Abuja (FCT), Gwarinpa",Nigerian Used,262478 km
6,/xv5uOBoZJeJPaSb4hoQmUnsi,Lexus RX 330 2006 Blue,"₦ 3,937,500","Anambra State, Onitsha",Nigerian Used,138580 km
7,/fqvdMyZtOGLpZpc81NqAF7t3,Hyundai Creta 2016 Gold,"₦ 5,737,500","Lagos State, Ikeja",Nigerian Used,8469 km
8,/34KRfGeBTRq9NhRfiatPFa5j,Toyota 4-Runner 2004 Black,"₦ 2,565,000","Lagos State, Kosofe",Nigerian Used,80061 km
9,/tA1AEG5alfYbROl8R3tRCP5Z,Toyota Camry 2008 Gray,"₦ 3,026,250","Lagos State, Ojodu",Nigerian Used,278077 km
10,/HNgWKUhMFDVU6w6j9syExG,Honda Accord 2008 White,"₦ 2,925,000","Abuja (FCT), Garki 2",Nigerian Used,142993 km
11,/s4I6QEtUIOPo82gYfCEWbjeL,New Toyota Corolla 2009 Gold,"₦ 3,150,000","Lagos State, Ifako-Ijaiye",Brand New,145681 km
12,/mahQKiyAC0X64CoZZVUgHojM,Toyota Camry 2010 Silver,"₦ 2,913,750","Lagos State, Yaba",Nigerian Used,118164 km
13,/rgFf5cP6RhwfjmeS9tYwg8XD,Toyota Matrix 2006 Gray,"₦ 2,534,062","Rivers State, Port-Harcourt",Nigerian Used,74057 km
14,/pwpokkaCdU498FGaiz5iK5KF,Ford Edge 2007 Blue,"₦ 2,475,000","Abuja (FCT), Jabi",Nigerian Used,249478 km
15,/ATVAaifQMLdlrDmVyAO2kxne,Ford Ranger 2012 White,"₦ 3,858,750","Abuja (FCT), Katampe",Nigerian Used,107998 km
16,/q4YS7IGOqRl0jy1VWPhTjEsk,Toyota Camry 2009 Red,"₦ 3,432,000","Abuja (FCT), Jabi",Nigerian Used,317025 km
17,/puXOFkUCjD0xYeoddwie2fHW,Honda Accord Crosstour 2010 Red,"₦ 3,600,000","Delta State, Oshimili South",Nigerian Used,87287 km
18,/plbXvzGwuPHGKRzdIaCCpBjb,Mercedes-Benz S-Class 2005 Silver,"₦ 7,875,000","Abuja (FCT), Jabi",Nigerian Used,92971 km
19,/pIDiKBiTDgDvwOkODUp3G2ha,Mercedes-Benz B-Class 2008 Silver,"₦ 3,375,000","Kaduna State, Kaduna / Kaduna State",Foreign Used,99999 km
20,/rhvstDdW5WmulJ1NYtXCbRpW,Honda Accord 2008 Silver,"₦ 2,250,000","Abuja (FCT), Lugbe District",Nigerian Used,171591 km
21,/44EPskf55bBCsTGbBXTrPTYj,Toyota Camry 2007 Gold,"₦ 3,937,500","Lagos State, Isolo",Nigerian Used,168212 km
22,/p45y86vmoCOPaI6mRjqCLiZN,Nissan Xterra SE 4x4 2006 Silver,"₦ 1,665,000","Lagos State, Ikeja",Nigerian Used,164606 km
23,/6AWPsr2OUNzUCPdXJQNhd5Gm,Toyota Camry 2004 Black,"₦ 1,856,250","Rivers State, Port-Harcourt",Nigerian Used,122557 km
24,/7qvBXjsBch4yEFOSh0FHGsry,Honda Accord 2007 Blue,"₦ 1,522,500","Lagos State, Ogudu",Nigerian Used,154472 km
25,/3CFzQGfG3Wu7d0XbI70EOwYH,Toyota Sienna 2004 Silver,"₦ 2,812,500","Oyo State, Ibadan",Nigerian Used,235435 km
26,/r7P4koefu2wsTbeUBCj8GcBg,Honda Accord Crosstour 2010 Silver,"₦ 4,160,000","Lagos State, Lekki",Nigerian Used,213435 km
27,/6pqMVHgoFkViSckd1ZIV0AmJ,Toyota Camry 2.4 2008 Gold,"₦ 4,935,000","Akwa Ibom State, Uyo",Foreign Used,225187 km
28,/mnDC1rg6ThFgxm5nRgoighL,Volkswagen Jetta 2009 Blue,"₦ 1,470,000","Oyo State, Ibadan",Nigerian Used,...
29,/upo5Mc8tQ8a4MXvqH7mc6d4Y,Toyota Corolla 2006 Blue,"₦ 2,912,000","Lagos State, Ikeja",Nigerian Used,243028 km
30,/tHNLirC9X1G89TJvhn7u6eou,Toyota Camry 2002 Green,"₦ 2,184,000","Abuja (FCT), Lugbe District",Nigerian Used,553889 km
31,/C4x6i5Wexckuazruhw9LczK2,Toyota Corolla 2013 Red,"₦ 4,410,000","Lagos State, Apapa",Nigerian Used,121908 km
32,/dwwUimBtqrl9jR4s3TDoR2F2,Honda Accord 2005 Black,"₦ 1,872,000","Lagos State, Ojodu",Nigerian Used,246338 km
33,/1hpsK73cdFOy4wvzW83MCTdU,Volkswagen Routan 2010 Gray,"₦ 5,250,000","Lagos State, Ikorodu",Nigerian Used,152341 km
34,/nFwwjz9OPBBJVStuhzndU27p,Mercedes-Benz GL-Class GL 450 2012 Green,"₦ 15,808,000","Lagos State, Ikeja",Foreign Used,346012 km
35,/kFFnfhoXOU5igCKE9G5vQPhy,Honda Accord 2014 Silver,"₦ 5,040,000","Lagos State, Yaba",Nigerian Used,39551 km
36,/zXWcZQ1cRyhNFfgH0K2C69yO,Lexus ES 2011 Gold,"₦ 5,720,000","Lagos State, Alimosho",Nigerian Used,109036 km
37,/oDuhT2t5vfMYScf5ZcjhZa9,Toyota Highlander 2015 Blue,"₦ 12,600,000","Lagos State, Isolo",Nigerian Used,98483 km
38,/Bqy8fS8Me2wAaoMRndG519gj,Mazda 626 2000 White,"₦ 924,000","Akwa Ibom State, Uyo",Nigerian Used,203790 km
39,/tD7eqj95tiokld4HT9y2N5UR,Toyota Corolla 2004 Red,"₦ 2,250,000","Oyo State, Ibadan",Nigerian Used,435300 km
40,/5DkDz6mMlXzPVS6UVd4s22gk,Toyota Sienna 2000 Gray,"₦ 1,155,000","Lagos State, Ikorodu",Nigerian Used,231528 km
41,/6xWf2AQOJjuEpSlFsjslYnKS,Toyota Tacoma 2013 White,"₦ 10,500,000","Lagos State, Ajah",Foreign Used,82516 km
42,/wxvl58nWPr4exkOA21QQ4TI9,Toyota Sienna 2007 Gold,"₦ 3,432,000","Lagos State, Alimosho",Nigerian Used,368443 km
43,/Bk1QuGZkqmIFwZ14smYNa3ah,Honda CR-V 2002 Black,"₦ 1,230,600","Lagos State, Ojodu",Nigerian Used,216145 km
44,/fS15xy5Ba5w1rph1ywx3uWao,Nissan Sentra 2005 Black,"₦ 840,000","Ogun State, Ado-Odo/Ota",Nigerian Used,248025 km
45,/d3MzHubjZi5HQJSBmY8Dityq,Toyota Corolla 2010 Silver,"₦ 4,160,000","Abuja (FCT), Garki 2",Nigerian Used,139161 km
46,/pG4W9zQJRuopk23JrNoYz16N,Toyota Corolla 2009 Blue,"₦ 3,255,000","Abuja (FCT), Katampe",Nigerian Used,93892 km
47,/mWzv5DhAQxqsoG69O9GNnrIg,Hyundai Elantra 2008 Black,"₦ 2,600,000","Kaduna State, Kaduna / Kaduna State",Nigerian Used,313045 km
48,/gpBmYPZe2v7Br1yt6HZsocmh,Honda Accord 2004 Beige,"₦ 1,365,000","Lagos State, Lekki",Nigerian Used,272543 km
49,/jGZFFAQiHiFmUtCiwqn1A12H,Honda City 2009 Gold,"₦ 1,890,000","Rivers State, Port-Harcourt",Nigerian Used,114095 km
50,/dTZpVpduwYSsLvMKC7ByrOkn,Toyota Camry 2022 Gray,"₦ 35,700,000","Abuja (FCT), Jabi",Nigerian Used,199 km
51,/zIEKMr7wrEUgwSZqsV8utGrF,Mercedes-Benz CLS 2006 Gray,"₦ 2,835,000","Kwara State, Ilorin East",Nigerian Used,431003 km
52,/hxVVi2yuvluIRRxXOLCBULjj,Toyota RAV4 2006 Blue,"₦ 2,646,000","Lagos State, Ajah",Nigerian Used,111815 km
53,/4bEj4uQUZAMs2vpLQqlV3aLV,Ford F-150 2006 Black,"₦ 2,520,000","Lagos State, Yaba",Nigerian Used,163690 km
54,/tIjrmeqpZP7H01VaStBKQaXn,Mazda CX-9 2009 White,"₦ 6,240,000","Oyo State, Ibadan",Foreign Used,69485 km
55,/dE8cEkvYl7NcFl0YiMak3IqS,Renault Laguna 2003 Silver,"₦ 3,150,000","Lagos State, Alimosho",Foreign Used,224342 km
56,/w2i75QaWsFghSgmf71vwyVkv,Volvo XC90 2005 Silver,"₦ 3,432,000","Abuja (FCT), Garki 2",Nigerian Used,193704 km
57,/32iqawGX1gIz4bVFMSPeCBkS,Peugeot 307 X-Line 1.6 Automatic 2006 Silver,"₦ 1,872,000","Akwa Ibom State, Uyo",Nigerian Used,107232 km
58,/acXAdnwSH5fRqOiSNhllwyqB,Toyota Sienna 2002 Red,"₦ 1,680,000","Oyo State, Ibadan",Nigerian Used,239544 km
59,/10WOhN1bJlLtdgBpcubym5UD,Toyota Camry 2008 Red,"₦ 3,045,000","Lagos State, Ikeja",Nigerian Used,243225 km
60,/gcA5XMwoxCf7Wh8vM8GINwfk,Lexus GX 2005 Blue,"₦ 4,708,000","Lagos State, Ilupeju",Nigerian Used,117966 km
61,/eRnk7hcyOGjm99N5zVhVATAA,Honda Accord 2009 Gray,"₦ 2,184,000","Lagos State, Alimosho",Nigerian Used,254063 km
62,/tYixrTzU6GkHwjWhYdUcxdVt,Mazda 6 2009 Silver,"₦ 1,910,000","Abuja (FCT), Garki 2",Nigerian Used,357323 km
63,/b5BzqM9mjlkQ9Otod9L02wIM,Toyota Sienna 2006 Black,"₦ 2,940,000","Lagos State, Lekki",Nigerian Used,215698 km
64,/6mJDuqKq0kvVFGdYVQDbihRN,Nissan Murano 2007 Gray,"₦ 2,100,000","Rivers State, Port-Harcourt",Nigerian Used,183110 km
65,/pRhRpTOaHUepHdi1sIZFxIxQ,Honda Pilot 2005 Silver,"₦ 2,392,000","Lagos State, Ogba",Nigerian Used,329946 km
66,/cyWIsbnhpNWWpEy8uJ7tBwCc,Honda Odyssey 2009 Silver,"₦ 1,575,000","Oyo State, Ibadan",Nigerian Used,206280 km
67,/aEgBBUaNoALvYcZNkuSim0Qi,Toyota Camry 2007 Gold,"₦ 3,640,000","Edo State, Benin City",Nigerian Used,62934 km
68,/aRsaLE0e9Vm7Cim7E9R1zMj1,Toyota Avalon 2015 Black,"₦ 5,775,000","Lagos State, Ikotun/Igando",Nigerian Used,122556 km
69,/5bgtzkO0u9oGXhGwauj4LvDn,Honda Accord 2005 Blue,"₦ 945,000","Edo State, Benin City",Nigerian Used,...
70,/nftiI2IIKxEJFcUd4G9svHZB,Honda CR-V 2006 Silver,"₦ 1,732,500","Lagos State, Ikorodu",Nigerian Used,123521 km
71,/kIgxc54YM53QSGZZ4EhWSJ2c,Hyundai Sonata 2013 Gray,"₦ 3,160,000","Lagos State, Lekki",Nigerian Used,75716 km
72,/nz5nHyEKv7PhrngWsOcNDwBI,Toyota Camry 2004 Silver,"₦ 1,575,000","Abuja (FCT), Jabi",Nigerian Used,297997 km
73,/unMI6oMmLfLGJjDAOt7QJlVX,Honda Pilot 2006 Gray,"₦ 2,313,400","Lagos State, Surulere",Nigerian Used,282569 km
74,/vXD9eCZKN3pxObYsxnHfOaTu,Honda Accord 2016 Black,"₦ 12,080,000","Abuja (FCT), Garki 2",Foreign Used,152190 km
75,/swhd77QGO6wNRzmk0uGvRA8w,Mercedes-Benz C350 2011 Blue,"₦ 5,928,000","Abuja (FCT), Gwarinpa",Nigerian Used,169914 km
76,/dRMdf282mEN2AFl9ROS0QYcu,Honda Accord 2007 Gray,"₦ 2,600,000","Lagos State, Ojodu",Nigerian Used,257626 km
77,/u4syZIGdgibtNwtjFsQosGIT,Honda Civic 2008 Black,"₦ 1,627,500","Abuja (FCT), Gwarinpa",Nigerian Used,210186 km
78,/napjyT7s6gX2KD9RU6FjWK3b,Toyota Sienna 2008 Red,"₦ 2,625,000","Ogun State, Ado-Odo/Ota",Nigerian Used,374110 km
79,/85cVZIU0lf6RcTgZicaoVuXm,Toyota Camry 2008 Black,"₦ 4,160,000","Abuja (FCT), Kubwa",Nigerian Used,245683 km
80,/v65JtAZYXUj5cIdmrTCSCD4q,Toyota Camry 2008 Gray,"₦ 2,772,000","Ondo State, Akure",Nigerian Used,382108 km
81,/klW29PJyRPSR0khAQ7K2zM0s,Volvo XC90 T6 AWD 2005 Gray,"₦ 1,806,000","Lagos State, Ikorodu",Nigerian Used,244035 km
82,/hTC8yivmApGFlkwQpyUGklkC,Mercedes-Benz GLK-Class 2010 White,"₦ 10,192,000","Lagos State, Ikorodu",Nigerian Used,149061 km
83,/6xsBnOkh1bNg9ipQSStKEPgP,Infiniti QX4 2003 Silver,"₦ 2,625,000","Abuja (FCT), Mararaba",Nigerian Used,173781 km
84,/BiLfLNe2i82tUDcg2aVjX8Kx,Toyota Highlander Limited V6 2005 Blue,"₦ 3,024,000","Lagos State, Ikeja",Nigerian Used,229649 km
85,/2sCsqOsYhKrlu6eiAakD0mwq,Mercedes-Benz C300 2011 White,"₦ 4,935,000","Lagos State, Amuwo-Odofin",Foreign Used,153944 km
86,/wPWsTD63jfkZtqZWEz6sjLeu,Ford F-150 2005 Black,"₦ 3,045,000","Abuja (FCT), Garki 2",Nigerian Used,385147 km
87,/CmgzY9ab1PkIo9PvRaPnxPJW,Peugeot 406 2002 Green,"₦ 1,456,000","Abuja (FCT), Garki 2",Nigerian Used,449965 km
88,/x4Myu8iJrBdFp9yCeXpzh8i4,Honda Accord 2010 Green,"₦ 1,984,498","Lagos State, Ikeja",Nigerian Used,139035 km
